Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas du jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
13/08/2025,ATTIJARIWAFA BANK,ATW,"760,00","765,00","769,00","754,00",45 577,"34 678 063,20",108,"164 582 741 835,00"
12/08/2025,ATTIJARIWAFA BANK,ATW,"770,00","768,00","770,00","767,00",14 157,"10 873 921,30",77,"165 228 164 352,00"
11/08/2025,ATTIJARIWAFA BANK,ATW,"777,90","768,90","777,90","768,90",14 504,"11 201 735,10",83,"165 421 791 107,10"
08/08/2025,ATTIJARIWAFA BANK,ATW,"779,90","767,90","790,00","767,90",81 756,"63 422 721,90",175,"165 206 650 268,10"
07/08/2025,ATTIJARIWAFA BANK,ATW,"767,00","769,70","775,00","760,00",35 695,"27 475 109,30",101,"165 593 903 778,30"
06/08/2025,ATTIJARIWAFA BANK,ATW,"752,00","767,90","767,90","750,00",133 561,"100 837 270,10",137,"165 206 650 268,10"
05/08/2025,ATTIJARIWAFA BANK,ATW,"747,50","753,00","754,00","747,50",49 944,"37 464 712,00",71,"162 001 051 767,00"
04/08/2025,ATTIJARIWAFA BANK,ATW,"750,00","750,00","750,00","743,00",28 909,"21 641 684,20",131,"161 355 629 250,00"
01/08/2025,ATTIJARIWAFA BANK,ATW,"765,00","750,00","765,00","750,00",23 320,"17 644 908,10",78,"161 355 629 250,00"
31/07/2025,ATTIJARIWAFA BANK,ATW,"736,00","750,00","755,00","736,00",78 619,"58 760 074,80",204,"161 355 629 250,00"
29/07/2025,ATTIJARIWAFA BANK,ATW,"725,10","740,00","740,00","725,10",100 075,"73 211 589,70",110,"159 204 220 860,00"
28/07/2025,ATTIJARIWAFA BANK,ATW,"730,00","726,00","733,90","722,00",33 349,"24 212 316,10",98,"156 192 249 114,00"
25/07/2025,ATTIJARIWAFA BANK,ATW,"733,50","735,00","740,00","721,00",83 606,"61 357 357,30",139,"158 128 516 665,00"
24/07/2025,ATTIJARIWAFA BANK,ATW,"710,00","730,00","730,00","707,00",61 264,"43 943 028,60",109,"157 052 812 470,00"
23/07/2025,ATTIJARIWAFA BANK,ATW,"707,00","710,00","710,00","707,00",26 508,"18 775 892,10",75,"152 749 995 690,00"
22/07/2025,ATTIJARIWAFA BANK,ATW,"710,50","710,90","717,00","710,00",63 456,"45 069 818,50",75,"152 943 622 445,10"
21/07/2025,ATTIJARIWAFA BANK,ATW,"724,90","718,00","724,90","705,00",5 101,"3 665 980,90",55,"154 471 122 402,00"
18/07/2025,ATTIJARIWAFA BANK,ATW,"691,20","725,00","725,00","690,20",87 773,"62 320 850,60",129,"155 977 108 275,00"
17/07/2025,ATTIJARIWAFA BANK,ATW,"700,00","700,00","700,00","688,00",34 766,"24 318 794,00",89,"150 598 587 300,00"
16/07/2025,ATTIJARIWAFA BANK,ATW,"699,90","700,00","700,00","695,00",5 629,"3 928 013,10",56,"150 598 587 300,00"
15/07/2025,ATTIJARIWAFA BANK,ATW,"695,30","699,80","700,00","695,10",26 403,"18 451 455,90",83,"150 555 559 132,20"
14/07/2025,ATTIJARIWAFA BANK,ATW,"697,80","700,00","700,00","696,60",23 549,"16 475 756,10",83,"150 598 587 300,00"
11/07/2025,ATTIJARIWAFA BANK,ATW,"696,90","700,90","700,90","696,30",59 900,"41 941 792,50",123,"150 792 214 055,10"
10/07/2025,ATTIJARIWAFA BANK,ATW,"697,50","700,00","700,00","697,00",66 429,"46 475 505,10",92,"150 598 587 300,00"
09/07/2025,ATTIJARIWAFA BANK,ATW,"700,00","699,80","701,00","695,30",29 339,"20 524 086,90",85,"150 555 559 132,20"
08/07/2025,ATTIJARIWAFA BANK,ATW,"700,00","700,00","700,50","695,10",54 772,"38 329 405,90",163,"150 598 587 300,00"
07/07/2025,ATTIJARIWAFA BANK,ATW,"683,10","700,00","700,00","683,10",110 002,"76 672 286,80",168,"150 598 587 300,00"
04/07/2025,ATTIJARIWAFA BANK,ATW,"680,00","693,00","693,00","680,00",29 849,"20 617 155,10",93,"149 092 601 427,00"
03/07/2025,ATTIJARIWAFA BANK,ATW,"682,00","690,00","690,00","682,00",27 530,"18 872 911,20",67,"148 447 178 910,00"
02/07/2025,ATTIJARIWAFA BANK,ATW,"678,00","682,00","684,00","675,00",4 181,"2 842 730,70",44,"146 726 052 198,00"
01/07/2025,ATTIJARIWAFA BANK,ATW,"685,00","682,00","685,00","678,00",5 880,"4 003 029,00",42,"146 726 052 198,00"
30/06/2025,ATTIJARIWAFA BANK,ATW,"680,00","680,00","690,00","680,00",78 071,"53 097 220,60",82,"146 295 770 520,00"
26/06/2025,ATTIJARIWAFA BANK,ATW,"685,00","693,00","693,00","681,10",350 287,"240 259 876,70",133,"149 092 601 427,00"
