Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
12/01/2026,CASH PLUS S.A,CAP,304.0,303.05,307.0,303.05,8593,2609769.75,328,7440813924.5
09/01/2026,CASH PLUS S.A,CAP,301.7,310.0,310.0,300.15,555791,169509647.55,494,7611457900.0
08/01/2026,CASH PLUS S.A,CAP,310.0,304.1,310.0,301.0,19203,5860292.75,460,7466594669.0
07/01/2026,CASH PLUS S.A,CAP,316.0,308.0,317.0,307.0,65873,20474767.8,660,7562351720.0
06/01/2026,CASH PLUS S.A,CAP,310.0,317.95,318.5,309.8,63565,20089924.9,1070,7806654965.5
05/01/2026,CASH PLUS S.A,CAP,301.0,313.95,315.5,301.0,31759,9866142.25,1000,7708442605.5
02/01/2026,CASH PLUS S.A,CAP,301.0,310.0,310.0,295.15,27305,8381085.05,797,7611457900.0
31/12/2025,CASH PLUS S.A,CAP,300.0,307.0,307.0,295.0,59615,17981384.95,1052,7537798630.0
30/12/2025,CASH PLUS S.A,CAP,293.5,298.05,298.05,293.0,34644,10177951.0,814,7318048474.5
29/12/2025,CASH PLUS S.A,CAP,301.05,298.0,305.0,292.7,43721,13062176.05,1370,7316820820.0
26/12/2025,CASH PLUS S.A,CAP,305.2,310.0,310.0,303.0,68721,21087842.35,1510,7611457900.0
25/12/2025,CASH PLUS S.A,CAP,307.0,307.15,308.8,307.0,50470,15521283.9,1307,7541481593.5
24/12/2025,CASH PLUS S.A,CAP,306.2,307.0,309.0,306.0,49116,15056152.3,1119,7537798630.0
23/12/2025,CASH PLUS S.A,CAP,310.0,307.05,310.05,306.0,45632,14051439.15,1024,7539026284.5
22/12/2025,CASH PLUS S.A,CAP,316.0,310.05,317.0,307.5,58475,18171999.2,1290,7612685554.5
19/12/2025,CASH PLUS S.A,CAP,312.0,318.0,322.0,312.0,113479,36032771.25,2468,7807882620.0
18/12/2025,CASH PLUS S.A,CAP,305.0,310.0,318.95,303.0,98104,30449647.75,3858,7611457900.0
17/12/2025,CASH PLUS S.A,CAP,307.2,305.0,310.0,300.4,121979,36955665.4,3849,7488692450.0
16/12/2025,CASH PLUS S.A,CAP,312.0,312.0,314.85,307.1,143724,44782394.2,4979,7660564080.0
15/12/2025,CASH PLUS S.A,CAP,311.15,319.0,334.0,305.0,723591,231454985.15,10780,7832435710.0
12/12/2025,CASH PLUS S.A,CAP,321.9,321.9,321.9,321.9,617786,198865313.4,4397,7903639671.0
11/12/2025,CASH PLUS S.A,CAP,292.65,292.65,292.65,292.65,86675,25365438.75,1036,7185461788.5
10/12/2025,CASH PLUS S.A,CAP,266.05,266.05,266.05,266.05,34671,9224219.55,440,6532349594.5
09/12/2025,CASH PLUS S.A,CAP,241.9,241.9,241.9,241.9,2300,556370.0,82,5939392471.0
08/12/2025,CASH PLUS S.A,CAP,219.95,219.95,219.95,219.95,564,124051.8,49,5400452145.5
