Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
12/01/2026,SGTM S.A,GTM,905.5,899.9,920.0,894.6,37193,33640449.6,1215,53994000000.0
09/01/2026,SGTM S.A,GTM,903.2,915.0,915.0,891.1,76354,68968273.6,1959,54900000000.0
08/01/2026,SGTM S.A,GTM,923.0,905.1,930.0,900.0,68188,62075223.9,2072,54306000000.0
07/01/2026,SGTM S.A,GTM,943.0,929.0,960.0,921.2,188982,177852530.0,2848,55740000000.0
06/01/2026,SGTM S.A,GTM,931.0,943.0,953.0,931.0,125376,118266907.6,2658,56580000000.0
05/01/2026,SGTM S.A,GTM,930.0,950.0,960.0,930.0,250529,237131825.4,4213,57000000000.0
02/01/2026,SGTM S.A,GTM,910.0,940.0,940.0,882.0,161689,149165456.0,4116,56400000000.0
31/12/2025,SGTM S.A,GTM,861.2,915.0,915.0,861.2,379094,340256111.8,8129,54900000000.0
30/12/2025,SGTM S.A,GTM,790.0,835.9,835.9,781.0,490620,399938780.0,8011,50154000000.0
29/12/2025,SGTM S.A,GTM,770.0,760.0,798.0,734.0,925520,699522517.7,16506,45600000000.0
26/12/2025,SGTM S.A,GTM,989.0,809.8,989.0,809.8,2040632,1950300767.1,19031,48588000000.0
25/12/2025,SGTM S.A,GTM,899.7,899.7,899.7,899.7,635778,572009466.6,5990,53982000000.0
24/12/2025,SGTM S.A,GTM,818.0,818.0,818.0,818.0,506005,413912090.0,4073,49080000000.0
23/12/2025,SGTM S.A,GTM,743.7,743.7,743.7,743.7,289299,215151666.3,2283,44622000000.0
22/12/2025,SGTM S.A,GTM,676.1,676.1,676.1,676.1,93136,62969249.6,1678,40566000000.0
19/12/2025,SGTM S.A,GTM,614.7,614.7,614.7,614.7,57921,35604038.7,1309,36882000000.0
18/12/2025,SGTM S.A,GTM,558.9,558.9,558.9,558.9,12213,6825845.7,427,33534000000.0
17/12/2025,SGTM S.A,GTM,508.1,508.1,508.1,508.1,5041,2561332.1,164,30486000000.0
16/12/2025,SGTM S.A,GTM,461.95,461.95,461.95,461.95,7352,3396256.4,74,27717000000.0
